City Name,Temperature (Above/Below)
Bridgetown,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessfulNothing to geocode"
Austin,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessfulNothing to geocode"
Prague,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessfulNothing to geocode"
Johannesburg,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessfulNothing to geocode"
Kuala Lumpur,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessfulNothing to geocode"
Brussels,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessfulNothing to geocode"
Brasilia,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessfulNothing to geocode"
Perth,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessfulNothing to geocode"
Nuuk,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessfulNothing to geocode"
Tehran,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessfulNothing to geocode"
