City Name,Temperature (Above/Below)
Perth,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection"
Nuuk,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection"
Tehran,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection"
Bridgetown,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection"
Austin,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection"
Prague,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection"
Johannesburg,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection"
Kuala Lumpur,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection"
Brussels,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection"
Brasilia,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection"
Perth,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection"
Nuuk,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection"
Tehran,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection"
