City Name,Temperature (Above/Below)
Bridgetown,Below
Austin,Below
Prague,Above
Johannesburg,Above
Kuala Lumpur,Above
Brussels,Above
Brasilia,Below
Perth,Below
Nuuk,Below
Tehran,Above
