City Name,Temperature (Above/Below)
Bridgetown,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessful. Code:400. Nothing to geocode"
Austin,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessful. Code:400. Nothing to geocode"
Prague,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessful. Code:400. Nothing to geocode"
Johannesburg,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessful. Code:400. Nothing to geocode"
Kuala Lumpur,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessful. Code:400. Nothing to geocode"
Brussels,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessful. Code:400. Nothing to geocode"
Brasilia,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessful. Code:400. Nothing to geocode"
Perth,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessful. Code:400. Nothing to geocode"
Nuuk,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessful. Code:400. Nothing to geocode"
Tehran,"Business Exception: Couldn't evaluate temperature, potential issue with API Connection.Temperature Retrevial unsucessful. Code:400. Nothing to geocode"
